Temperature,Status,Fan,Date,Time
26.9,OFF,OFF,2023-08-16,13:03:54
26.7,ON,OFF,2023-08-16,13:03:55
26.4,ON,OFF,2023-08-16,13:03:56
26.2,ON,OFF,2023-08-16,13:03:57
26.1,ON,OFF,2023-08-16,13:03:58
25.9,ON,OFF,2023-08-16,13:03:59
25.7,ON,OFF,2023-08-16,13:04:00
25.5,ON,OFF,2023-08-16,13:04:01
25.3,ON,OFF,2023-08-16,13:04:02
25.1,ON,OFF,2023-08-16,13:04:03
24.9,ON,OFF,2023-08-16,13:04:04
25.1,OFF,OFF,2023-08-16,13:04:05
25.3,OFF,OFF,2023-08-16,13:04:06
25.6,OFF,OFF,2023-08-16,13:04:07
25.8,OFF,OFF,2023-08-16,13:04:08
26.0,OFF,OFF,2023-08-16,13:04:09
26.3,OFF,OFF,2023-08-16,13:04:10
26.5,OFF,OFF,2023-08-16,13:04:11
26.7,OFF,OFF,2023-08-16,13:04:12
27.0,OFF,OFF,2023-08-16,13:04:14
27.1,OFF,OFF,2023-08-16,13:04:15
27.3,OFF,OFF,2023-08-16,13:04:16
27.0,ON,ON,2023-08-16,13:04:17
26.6,ON,ON,2023-08-16,13:04:18
26.1,ON,ON,2023-08-16,13:04:19
25.7,ON,ON,2023-08-16,13:04:20
25.2,ON,ON,2023-08-16,13:04:21
24.9,ON,OFF,2023-08-16,13:04:22
25.2,OFF,OFF,2023-08-16,13:04:23
25.4,OFF,OFF,2023-08-16,13:04:24
25.5,OFF,OFF,2023-08-16,13:04:25
25.8,OFF,OFF,2023-08-16,13:04:26
25.9,OFF,OFF,2023-08-16,13:04:27
26.2,OFF,OFF,2023-08-16,13:04:28
26.4,OFF,OFF,2023-08-16,13:04:29
26.6,OFF,OFF,2023-08-16,13:04:30
26.9,OFF,OFF,2023-08-16,13:04:31
27.0,OFF,OFF,2023-08-16,13:04:32
27.2,OFF,OFF,2023-08-16,13:04:33
27.4,OFF,OFF,2023-08-16,13:04:34
27.1,ON,ON,2023-08-16,13:04:35
26.6,ON,ON,2023-08-16,13:04:36
26.2,ON,ON,2023-08-16,13:04:37
25.7,ON,ON,2023-08-16,13:04:38
25.3,ON,ON,2023-08-16,13:04:39
24.8,ON,OFF,2023-08-16,13:04:40
24.5,ON,OFF,2023-08-16,13:04:41
24.7,OFF,OFF,2023-08-16,13:04:42
24.9,OFF,OFF,2023-08-16,13:04:43
25.1,OFF,OFF,2023-08-16,13:04:44
25.3,OFF,OFF,2023-08-16,13:04:45
25.4,OFF,OFF,2023-08-16,13:04:46
25.6,OFF,OFF,2023-08-16,13:04:47
25.9,OFF,OFF,2023-08-16,13:04:48
26.1,OFF,OFF,2023-08-16,13:04:49
26.3,OFF,OFF,2023-08-16,13:04:50
26.5,OFF,OFF,2023-08-16,13:04:51
26.8,OFF,OFF,2023-08-16,13:04:52
27.0,OFF,OFF,2023-08-16,13:04:53
Temperature,Status,Fan,Date,Time
Temperature,Status,Fan,Date,Time
Temperature,Status,Fan,Date,Time,DoorOpen
Temperature,Status,Fan,Date,Time,DoorOpen
Temperature,Status,Fan,Date,Time,DoorOpen
Temperature,Status,Fan,Date,Time,DoorOpen
Temperature,Status,Fan,Date,Time,DoorOpen
